Entity,Code,Year,Wind per capita (kWh - equivalent)
Latvia,LVA,2005,60.264492
Luxembourg,LUX,2005,321.84644
Lithuania,LTU,2005,1.5315285
Sri Lanka,LKA,2005,0.3501543
Kuwait,KWT,2005,0
South Korea,KOR,2005,7.7662635
Kazakhstan,KAZ,2005,0
Japan,JPN,2005,42.794907
Italy,ITA,2005,115.27479
Israel,ISR,2005,4.691233
Iceland,ISL,2005,0
Iraq,IRQ,2005,0
Iran,IRN,2005,2.8926847
Ireland,IRL,2005,772.6914
India,IND,2005,14.857211
Indonesia,IDN,2005,0
Hungary,HUN,2005,2.8425148
Croatia,HRV,2005,6.4641514
Hong Kong,HKG,2005,0
Greece,GRC,2005,326.1887
United Kingdom,GBR,2005,138.08783
France,FRA,2005,45.523056
Finland,FIN,2005,91.86162
Estonia,EST,2005,113.930786
Spain,ESP,2005,1388.008
Egypt,EGY,2005,18.471746
Ecuador,ECU,2005,0
Algeria,DZA,2005,0
Denmark,DNK,2005,3483.724
Germany,DEU,2005,979.26764
Czechia,CZE,2005,5.927296
Cyprus,CYP,2005,0.98032594
Colombia,COL,2005,3.3557198
China,CHN,2005,4.270388
Chile,CHL,2005,1.2398865
Switzerland,CHE,2005,3.0849917
Canada,CAN,2005,139.31842
Brazil,BRA,2005,1.4240626
Belarus,BLR,2005,0.2879782
Bulgaria,BGR,2005,1.8304735
Bangladesh,BGD,2005,0
Belgium,BEL,2005,61.80434
Azerbaijan,AZE,2005,0
Austria,AUT,2005,463.34998
Australia,AUS,2005,184.40248
Argentina,ARG,2005,5.2562175
United Arab Emirates,ARE,2005,0
South Africa,ZAF,2004,0.71216077
Vietnam,VNM,2004,0
Venezuela,VEN,2004,0
Uzbekistan,UZB,2004,0
United States,USA,2004,140.05553
Ukraine,UKR,2004,2.0120716
Taiwan,TWN,2004,3.2052772
Turkey,TUR,2004,2.4529202
Trinidad and Tobago,TTO,2004,0
Turkmenistan,TKM,2004,0
Thailand,THA,2004,0
Sweden,SWE,2004,272.0272
Slovenia,SVN,2004,0
Slovakia,SVK,2004,3.214511
Singapore,SGP,2004,0
Saudi Arabia,SAU,2004,0
Russia,RUS,2004,0.13970318
Romania,ROU,2004,0
Qatar,QAT,2004,0
Portugal,PRT,2004,223.91306
Poland,POL,2004,10.60198
Philippines,PHL,2004,0
Peru,PER,2004,0.123483725
Pakistan,PAK,2004,0
Oman,OMN,2004,0
New Zealand,NZL,2004,255.2602
Norway,NOR,2004,162.8478
Netherlands,NLD,2004,332.18277
Malaysia,MYS,2004,0
North Macedonia,MKD,2004,0
Mexico,MEX,2004,0.55445284
Morocco,MAR,2004,19.08428
Latvia,LVA,2004,62.382935
Luxembourg,LUX,2004,248.00056
Lithuania,LTU,2004,1.0063845
Sri Lanka,LKA,2004,0.40048134
Kuwait,KWT,2004,0
South Korea,KOR,2004,2.8644283
Kazakhstan,KAZ,2004,0
Japan,JPN,2004,32.50205
Italy,ITA,2004,91.986694
Israel,ISR,2004,4.8056555
Iceland,ISL,2004,0
Iraq,IRQ,2004,0
Iran,IRN,2004,1.9319041
Ireland,IRL,2004,468.21423
India,IND,2004,13.252081
Indonesia,IDN,2004,0
Hungary,HUN,2004,1.7116033
Croatia,HRV,2004,1.2940682
Hong Kong,HKG,2004,0
Greece,GRC,2004,290.62582
United Kingdom,GBR,2004,93.13182
France,FRA,2004,28.524828
Finland,FIN,2004,66.30705
Estonia,EST,2004,16.06537
Spain,ESP,2004,1053.1257
Egypt,EGY,2004,18.73649
Ecuador,ECU,2004,0
Algeria,DZA,2004,0
Denmark,DNK,2004,3502.8982
Germany,DEU,2004,922.61316
Czechia,CZE,2004,2.7802675
Cyprus,CYP,2004,1.0034693
Colombia,COL,2004,3.597201
China,CHN,2004,2.8393455
Chile,CHL,2004,0.900031
Switzerland,CHE,2004,2.3407965
Canada,CAN,2004,85.33433
Brazil,BRA,2004,0.9515964
Belarus,BLR,2004,0.29167503
Bulgaria,BGR,2004,0.3672948
Bangladesh,BGD,2004,0
Belgium,BEL,2004,39.134277
Azerbaijan,AZE,2004,0
Austria,AUT,2004,325.85684
Australia,AUS,2004,114.97649
Argentina,ARG,2004,5.398776
United Arab Emirates,ARE,2004,0
South Africa,ZAF,2003,0.36148494
Vietnam,VNM,2003,0
Venezuela,VEN,2003,0
Uzbekistan,UZB,2003,0
United States,USA,2003,112.578705
Ukraine,UKR,2003,1.8885133
Taiwan,TWN,2003,3.0500417
Turkey,TUR,2003,2.662997
Trinidad and Tobago,TTO,2003,0
Turkmenistan,TKM,2003,0
Thailand,THA,2003,0
Sweden,SWE,2003,219.73808
Slovenia,SVN,2003,0
Slovakia,SVK,2003,1.0802279
Singapore,SGP,2003,0
Saudi Arabia,SAU,2003,0
Russia,RUS,2003,0.17209388
Romania,ROU,2003,0
Qatar,QAT,2003,0
Portugal,PRT,2003,137.345
Poland,POL,2003,9.311263
Philippines,PHL,2003,0
Peru,PER,2003,0.12569883
Pakistan,PAK,2003,0
Oman,OMN,2003,0
New Zealand,NZL,2003,105.71961
Norway,NOR,2003,139.63028
Netherlands,NLD,2003,237.00797
Malaysia,MYS,2003,0
North Macedonia,MKD,2003,0
Mexico,MEX,2003,0.5379535
Morocco,MAR,2003,19.828726
Latvia,LVA,2003,60.67353
Luxembourg,LUX,2003,168.14088
Lithuania,LTU,2003,0
Sri Lanka,LKA,2003,0.51229316
Kuwait,KWT,2003,0
South Korea,KOR,2003,1.5168713
Kazakhstan,KAZ,2003,0
Japan,JPN,2003,18.924383
Italy,ITA,2003,73.63287
Israel,ISR,2003,5.373971
Iceland,ISL,2003,0
Iraq,IRQ,2003,0
Iran,IRN,2003,1.1778924
Ireland,IRL,2003,332.65753
India,IND,2003,6.7596316
Indonesia,IDN,2003,0
Hungary,HUN,2003,1.147563
Croatia,HRV,2003,0
Hong Kong,HKG,2003,0
Greece,GRC,2003,266.50732
United Kingdom,GBR,2003,62.621494
France,FRA,2003,18.839457
Finland,FIN,2003,51.12638
Estonia,EST,2003,12.909405
Spain,ESP,2003,829.23926
Egypt,EGY,2003,10.918894
Ecuador,ECU,2003,0
Algeria,DZA,2003,0
Denmark,DNK,2003,2988.4915
Germany,DEU,2003,680.4774
Czechia,CZE,2003,1.1031921
Cyprus,CYP,2003,0
Colombia,COL,2003,0
China,CHN,2003,2.243305
Chile,CHL,2003,1.2803712
Switzerland,CHE,2003,1.9779751
Canada,CAN,2003,63.286526
Brazil,BRA,2003,0.96866995
Belarus,BLR,2003,0
Bulgaria,BGR,2003,0
Bangladesh,BGD,2003,0
Belgium,BEL,2003,24.533485
Azerbaijan,AZE,2003,0
Austria,AUT,2003,130.71817
Australia,AUS,2003,103.65154
Argentina,ARG,2003,5.9061446
United Arab Emirates,ARE,2003,0
South Africa,ZAF,2002,0
Vietnam,VNM,2002,0
Venezuela,VEN,2002,0
Uzbekistan,UZB,2002,0
United States,USA,2002,105.87023
Ukraine,UKR,2002,1.3384551
Taiwan,TWN,2002,2.062785
Turkey,TUR,2002,2.123155
Trinidad and Tobago,TTO,2002,0
Turkmenistan,TKM,2002,0
Thailand,THA,2002,0
Sweden,SWE,2002,198.81796
Slovenia,SVN,2002,0
Slovakia,SVK,2002,0
Singapore,SGP,2002,0
Saudi Arabia,SAU,2002,0
Russia,RUS,2002,0.12420713
Romania,ROU,2002,0
Qatar,QAT,2002,0
Portugal,PRT,2002,101.29679
Poland,POL,2002,4.6069994
Philippines,PHL,2002,0
Peru,PER,2002,0.12804328
Pakistan,PAK,2002,0
Oman,OMN,2002,0
New Zealand,NZL,2002,114.93486
Norway,NOR,2002,25.019943
Netherlands,NLD,2002,171.96301
Malaysia,MYS,2002,0
North Macedonia,MKD,2002,0
Mexico,MEX,2002,0.60738534
Morocco,MAR,2002,19.314907
Latvia,LVA,2002,13.8027315
Luxembourg,LUX,2002,160.23114
Lithuania,LTU,2002,0
Sri Lanka,LKA,2002,0.55088377
Kuwait,KWT,2002,0
South Korea,KOR,2002,0.91789234
Kazakhstan,KAZ,2002,0
Japan,JPN,2002,9.469459
Italy,ITA,2002,71.76006
Israel,ISR,2002,5.0509286
Iceland,ISL,2002,0
Iraq,IRQ,2002,0
Iran,IRN,2002,1.3135948
Ireland,IRL,2002,290.86728
India,IND,2002,5.541015
Indonesia,IDN,2002,0
Hungary,HUN,2002,0.28740153
Croatia,HRV,2002,0
Hong Kong,HKG,2002,0
Greece,GRC,2002,171.23785
United Kingdom,GBR,2002,61.91172
France,FRA,2002,13.027704
Finland,FIN,2002,35.35882
Estonia,EST,2002,2.9605653
Spain,ESP,2002,657.40826
Egypt,EGY,2002,8.337422
Ecuador,ECU,2002,0
Algeria,DZA,2002,0
Denmark,DNK,2002,2646.5461
Germany,DEU,2002,566.253
Czechia,CZE,2002,0.4558106
Cyprus,CYP,2002,0
Colombia,COL,2002,0
China,CHN,2002,1.9081157
Chile,CHL,2002,1.3027085
Switzerland,CHE,2002,2.0041742
Canada,CAN,2002,37.740658
Brazil,BRA,2002,0.9865479
Belarus,BLR,2002,0
Bulgaria,BGR,2002,0
Bangladesh,BGD,2002,0
Belgium,BEL,2002,16.066101
Azerbaijan,AZE,2002,0
Austria,AUT,2002,73.341225
Australia,AUS,2002,79.96286
Argentina,ARG,2002,5.6554523
United Arab Emirates,ARE,2002,0
South Africa,ZAF,2001,0
Vietnam,VNM,2001,0
Venezuela,VEN,2001,0
Uzbekistan,UZB,2001,0
United States,USA,2001,70.03448
Ukraine,UKR,2001,0.9708803
Taiwan,TWN,2001,1.6086218
Turkey,TUR,2001,2.8171566
Trinidad and Tobago,TTO,2001,0
Turkmenistan,TKM,2001,0
Thailand,THA,2001,0
Sweden,SWE,2001,159.16083
Slovenia,SVN,2001,0
Slovakia,SVK,2001,0
Singapore,SGP,2001,0
Saudi Arabia,SAU,2001,0
Russia,RUS,2001,0.06230436
Romania,ROU,2001,0
Qatar,QAT,2001,0
Portugal,PRT,2001,72.511284
Poland,POL,2001,1.06379
Philippines,PHL,2001,0
Peru,PER,2001,0.13058631
Pakistan,PAK,2001,0
Oman,OMN,2001,0
New Zealand,NZL,2001,104.97694
Norway,NOR,2001,18.716137
Netherlands,NLD,2001,151.6538
Malaysia,MYS,2001,0
North Macedonia,MKD,2001,0
Mexico,MEX,2001,0.5320253
Morocco,MAR,2001,20.898531
Latvia,LVA,2001,3.7323458
Luxembourg,LUX,2001,158.05647
Lithuania,LTU,2001,0
Sri Lanka,LKA,2001,0.543215
Kuwait,KWT,2001,0
South Korea,KOR,2001,0.78586715
Kazakhstan,KAZ,2001,0
Japan,JPN,2001,5.826295
Italy,ITA,2001,60.771164
Israel,ISR,2001,4.7094984
Iceland,ISL,2001,0
Iraq,IRQ,2001,0
Iran,IRN,2001,1.4848676
Ireland,IRL,2001,256.30527
India,IND,2001,5.676972
Indonesia,IDN,2001,0
Hungary,HUN,2001,0.28929627
Croatia,HRV,2001,0
Hong Kong,HKG,2001,0
Greece,GRC,2001,200.58989
United Kingdom,GBR,2001,47.97544
France,FRA,2001,6.5212526
Finland,FIN,2001,39.412052
Estonia,EST,2001,0
Spain,ESP,2001,484.70172
Egypt,EGY,2001,7.2180295
Ecuador,ECU,2001,0
Algeria,DZA,2001,0
Denmark,DNK,2001,2359.7751
Germany,DEU,2001,378.42038
Czechia,CZE,2001,0.05756336
Cyprus,CYP,2001,0
Colombia,COL,2001,0
China,CHN,2001,1.6600672
Chile,CHL,2001,1.324117
Switzerland,CHE,2001,1.6264297
Canada,CAN,2001,31.175673
Brazil,BRA,2001,0.5753201
Belarus,BLR,2001,0
Bulgaria,BGR,2001,0
Bangladesh,BGD,2001,0
Belgium,BEL,2001,10.54374
Azerbaijan,AZE,2001,0
Austria,AUT,2001,62.85106
Australia,AUS,2001,43.80397
Argentina,ARG,2001,3.8690054
United Arab Emirates,ARE,2001,0
South Africa,ZAF,2000,0
Vietnam,VNM,2000,0
Venezuela,VEN,2000,0
Uzbekistan,UZB,2000,0
United States,USA,2000,59.1585
Ukraine,UKR,2000,0.36313602
Taiwan,TWN,2000,0.18397751
Turkey,TUR,2000,1.540444
Trinidad and Tobago,TTO,2000,0
Turkmenistan,TKM,2000,0
Thailand,THA,2000,0
Sweden,SWE,2000,152.33206
Slovenia,SVN,2000,0
Slovakia,SVK,2000,0
Singapore,SGP,2000,0
Saudi Arabia,SAU,2000,0
Russia,RUS,2000,0.038211152
Romania,ROU,2000,0
Qatar,QAT,2000,0
Portugal,PRT,2000,48.22754
Poland,POL,2000,0.3837942
Philippines,PHL,2000,0
Peru,PER,2000,0.088790715
Pakistan,PAK,2000,0
Oman,OMN,2000,0
New Zealand,NZL,2000,92.19957
Norway,NOR,2000,19.882877
Netherlands,NLD,2000,154.18095
Malaysia,MYS,2000,0
North Macedonia,MKD,2000,0
Mexico,MEX,2000,0.5740349
Morocco,MAR,2000,6.6275983
Latvia,LVA,2000,6.1766167
Luxembourg,LUX,2000,167.94998
Lithuania,LTU,2000,0
Sri Lanka,LKA,2000,0.53554296
Kuwait,KWT,2000,0
South Korea,KOR,2000,1.0544772
Kazakhstan,KAZ,2000,0
Japan,JPN,2000,2.5418148
Italy,ITA,2000,29.223982
Israel,ISR,2000,0
Iceland,ISL,2000,0
Iraq,IRQ,2000,0
Iran,IRN,2000,1.6466705
Ireland,IRL,2000,191.46832
India,IND,2000,4.4146924
Indonesia,IDN,2000,0
Hungary,HUN,2000,0
Croatia,HRV,2000,0
Hong Kong,HKG,2000,0
Greece,GRC,2000,120.81796
United Kingdom,GBR,2000,47.532875
France,FRA,2000,2.4194057
Finland,FIN,2000,43.758923
Estonia,EST,2000,0
Spain,ESP,2000,343.081
Egypt,EGY,2000,3.335196
Ecuador,ECU,2000,0
Algeria,DZA,2000,0
Denmark,DNK,2000,2348.2449
Germany,DEU,2000,344.46127
Czechia,CZE,2000,0
Cyprus,CYP,2000,0
Colombia,COL,2000,0
China,CHN,2000,1.3798957
Chile,CHL,2000,0
Switzerland,CHE,2000,1.2337854
Canada,CAN,2000,25.44201
Brazil,BRA,2000,0.01674181
Belarus,BLR,2000,0
Bulgaria,BGR,2000,0
Bangladesh,BGD,2000,0
Belgium,BEL,2000,4.609346
Azerbaijan,AZE,2000,0
Austria,AUT,2000,24.732561
Australia,AUS,2000,20.834858
Argentina,ARG,2000,2.7725122
United Arab Emirates,ARE,2000,0
South Africa,ZAF,1999,0
Vietnam,VNM,1999,0
Venezuela,VEN,1999,0
Uzbekistan,UZB,1999,0
United States,USA,1999,48.015392
Ukraine,UKR,1999,0.17966524
Taiwan,TWN,1999,0
Turkey,TUR,1999,0.9593691
Trinidad and Tobago,TTO,1999,0
Turkmenistan,TKM,1999,0
Thailand,THA,1999,0
Sweden,SWE,1999,119.631195
Slovenia,SVN,1999,0
Slovakia,SVK,1999,0
Singapore,SGP,1999,0
Saudi Arabia,SAU,1999,0
Russia,RUS,1999,0
Romania,ROU,1999,0
Qatar,QAT,1999,0
Portugal,PRT,1999,35.541527
Poland,POL,1999,0.30852166
Philippines,PHL,1999,0
Peru,PER,1999,0.06761328
Pakistan,PAK,1999,0
Oman,OMN,1999,0
New Zealand,NZL,1999,30.077417
Norway,NOR,1999,9.460441
Netherlands,NLD,1999,120.61718
Malaysia,MYS,1999,0
North Macedonia,MKD,1999,0
Mexico,MEX,1999,0.52181435
Morocco,MAR,1999,0
Latvia,LVA,1999,2.438498
Luxembourg,LUX,1999,123.96782
Lithuania,LTU,1999,0
Sri Lanka,LKA,1999,0.5549483
Kuwait,KWT,1999,0
South Korea,KOR,1999,0.3714018
Kazakhstan,KAZ,1999,0
Japan,JPN,1999,0.8496455
Italy,ITA,1999,20.926601
Israel,ISR,1999,0
Iceland,ISL,1999,0
Iraq,IRQ,1999,0
Iran,IRN,1999,1.6051977
Ireland,IRL,1999,148.67436
India,IND,1999,4.1093764
Indonesia,IDN,1999,0
Hungary,HUN,1999,0
Croatia,HRV,1999,0
Hong Kong,HKG,1999,0
Greece,GRC,1999,43.5727
United Kingdom,GBR,1999,42.86573
France,FRA,1999,1.8721514
Finland,FIN,1999,28.050043
Estonia,EST,1999,0
Spain,ESP,1999,200.13644
Egypt,EGY,1999,0.5075806
Ecuador,ECU,1999,0
Algeria,DZA,1999,0
Denmark,DNK,1999,1683.6396
Germany,DEU,1999,200.4272
Czechia,CZE,1999,0
Cyprus,CYP,1999,0
Colombia,COL,1999,0
China,CHN,1999,1.1158191
Chile,CHL,1999,0
Switzerland,CHE,1999,1.2406698
Canada,CAN,1999,15.757755
Brazil,BRA,1999,0.034104522
Belarus,BLR,1999,0
Bulgaria,BGR,1999,0
Bangladesh,BGD,1999,0
Belgium,BEL,1999,3.7597802
Azerbaijan,AZE,1999,0
Austria,AUT,1999,18.871128
Australia,AUS,1999,6.763006
Argentina,ARG,1999,2.80596
United Arab Emirates,ARE,1999,0
South Africa,ZAF,1998,0
Vietnam,VNM,1998,0
Venezuela,VEN,1998,0
Uzbekistan,UZB,1998,0
United States,USA,1998,32.76351
Ukraine,UKR,1998,0.17812757
Taiwan,TWN,1998,0
Turkey,TUR,1998,0.26107687
Trinidad and Tobago,TTO,1998,0
Turkmenistan,TKM,1998,0
Thailand,THA,1998,0
Sweden,SWE,1998,103.15902
Slovenia,SVN,1998,0
Slovakia,SVK,1998,0
Singapore,SGP,1998,0
Saudi Arabia,SAU,1998,0
Russia,RUS,1998,0
Romania,ROU,1998,0
Qatar,QAT,1998,0
Portugal,PRT,1998,25.853336
Poland,POL,1998,0.30832037
Philippines,PHL,1998,0
Peru,PER,1998,0.057237767
Pakistan,PAK,1998,0
Oman,OMN,1998,0
New Zealand,NZL,1998,17.128323
Norway,NOR,1998,0
Netherlands,NLD,1998,120.36641
Malaysia,MYS,1998,0
North Macedonia,MKD,1998,0
Mexico,MEX,1998,0.46803832
Morocco,MAR,1998,0
Latvia,LVA,1998,2.4028702
Luxembourg,LUX,1998,76.79074
Lithuania,LTU,1998,0
Sri Lanka,LKA,1998,0
Kuwait,KWT,1998,0
South Korea,KOR,1998,0.12792721
Kazakhstan,KAZ,1998,0
Japan,JPN,1998,0.16559996
Italy,ITA,1998,12.048412
Israel,ISR,1998,0
Iceland,ISL,1998,0
Iraq,IRQ,1998,0
Iran,IRN,1998,0
Ireland,IRL,1998,135.87006
India,IND,1998,3.1236374
Indonesia,IDN,1998,0
Hungary,HUN,1998,0
Croatia,HRV,1998,0
Hong Kong,HKG,1998,0
Greece,GRC,1998,19.732235
United Kingdom,GBR,1998,44.37635
France,FRA,1998,0.9926431
Finland,FIN,1998,13.196895
Estonia,EST,1998,0
Spain,ESP,1998,99.04896
Egypt,EGY,1998,0
Ecuador,ECU,1998,0
Algeria,DZA,1998,0
Denmark,DNK,1998,1573.5853
Germany,DEU,1998,162.82152
Czechia,CZE,1998,0
Cyprus,CYP,1998,0
Colombia,COL,1998,0
China,CHN,1998,0.8432334
Chile,CHL,1998,0
Switzerland,CHE,1998,1.2465997
Canada,CAN,1998,6.0817533
Brazil,BRA,1998,0.08639964
Belarus,BLR,1998,0
Bulgaria,BGR,1998,0
Bangladesh,BGD,1998,0
Belgium,BEL,1998,3.1925027
Azerbaijan,AZE,1998,0
Austria,AUT,1998,16.683405
Australia,AUS,1998,2.8613474
Argentina,ARG,1998,2.6556678
United Arab Emirates,ARE,1998,0
South Africa,ZAF,1997,0
Vietnam,VNM,1997,0
Venezuela,VEN,1997,0
Uzbekistan,UZB,1997,0
United States,USA,1997,36.053806
Ukraine,UKR,1997,0
Taiwan,TWN,1997,0
Turkey,TUR,1997,0
Trinidad and Tobago,TTO,1997,0
Turkmenistan,TKM,1997,0
Thailand,THA,1997,0
Sweden,SWE,1997,68.15144
Slovenia,SVN,1997,0
Slovakia,SVK,1997,0
Singapore,SGP,1997,0
Saudi Arabia,SAU,1997,0
Russia,RUS,1997,0
Romania,ROU,1997,0
Qatar,QAT,1997,0
Portugal,PRT,1997,11.091756
Poland,POL,1997,0.15409543
Philippines,PHL,1997,0
Peru,PER,1997,0.06997726
Pakistan,PAK,1997,0
Oman,OMN,1997,0
New Zealand,NZL,1997,10.645572
Norway,NOR,1997,0
Netherlands,NLD,1997,89.86423
Malaysia,MYS,1997,0
North Macedonia,MKD,1997,0
Mexico,MEX,1997,0.38079748
Morocco,MAR,1997,0
Latvia,LVA,1997,2.3677266
Luxembourg,LUX,1997,21.177904
Lithuania,LTU,1997,0
Sri Lanka,LKA,1997,0
Kuwait,KWT,1997,0
South Korea,KOR,1997,0.06406204
Kazakhstan,KAZ,1997,0
Japan,JPN,1997,0.022481779
Italy,ITA,1997,6.1294646
Israel,ISR,1997,0
Iceland,ISL,1997,0
Iraq,IRQ,1997,0
Iran,IRN,1997,0
Ireland,IRL,1997,40.623554
India,IND,1997,2.9146986
Indonesia,IDN,1997,0
Hungary,HUN,1997,0
Croatia,HRV,1997,0
Hong Kong,HKG,1997,0
Greece,GRC,1997,10.060308
United Kingdom,GBR,1997,33.85932
France,FRA,1997,0.568932
Finland,FIN,1997,9.549932
Estonia,EST,1997,0
Spain,ESP,1997,54.606358
Egypt,EGY,1997,0
Ecuador,ECU,1997,0
Algeria,DZA,1997,0
Denmark,DNK,1997,1083.758
Germany,DEU,1997,107.697075
Czechia,CZE,1997,0
Cyprus,CYP,1997,0
Colombia,COL,1997,0
China,CHN,1997,0.47295484
Chile,CHL,1997,0
Switzerland,CHE,1997,0.83486277
Canada,CAN,1997,6.135089
Brazil,BRA,1997,0.070208035
Belarus,BLR,1997,0
Bulgaria,BGR,1997,0
Bangladesh,BGD,1997,0
Belgium,BEL,1997,2.3305717
Azerbaijan,AZE,1997,0
Austria,AUT,1997,7.423005
Australia,AUS,1997,1.2040391
Argentina,ARG,1997,1.2047234
United Arab Emirates,ARE,1997,0
South Africa,ZAF,1996,0
Vietnam,VNM,1996,0
Venezuela,VEN,1996,0
Uzbekistan,UZB,1996,0
United States,USA,1996,35.91177
Ukraine,UKR,1996,0
Taiwan,TWN,1996,0
Turkey,TUR,1996,0
Trinidad and Tobago,TTO,1996,0
Turkmenistan,TKM,1996,0
Thailand,THA,1996,0
Sweden,SWE,1996,48.46699
Slovenia,SVN,1996,0
Slovakia,SVK,1996,0
Singapore,SGP,1996,0
Saudi Arabia,SAU,1996,0
Russia,RUS,1996,0
Romania,ROU,1996,0
Qatar,QAT,1996,0
Portugal,PRT,1996,6.15571
Poland,POL,1996,0
Philippines,PHL,1996,0
Peru,PER,1996,0.04750949
Pakistan,PAK,1996,0
Oman,OMN,1996,0
New Zealand,NZL,1996,6.6008782
Norway,NOR,1996,0
Netherlands,NLD,1996,83.16082
Malaysia,MYS,1996,0
North Macedonia,MKD,1996,0
Mexico,MEX,1996,0.19380571
Morocco,MAR,1996,0
Latvia,LVA,1996,1.1618428
Luxembourg,LUX,1996,0
Lithuania,LTU,1996,0
Sri Lanka,LKA,1996,0
Kuwait,KWT,1996,0
South Korea,KOR,1996,0
Kazakhstan,KAZ,1996,0
Japan,JPN,1996,0.04507148
Italy,ITA,1996,1.6456897
Israel,ISR,1996,0
Iceland,ISL,1996,0
Iraq,IRQ,1996,0
Iran,IRN,1996,0
Ireland,IRL,1996,11.4800205
India,IND,1996,2.6415234
Indonesia,IDN,1996,0
Hungary,HUN,1996,0
Croatia,HRV,1996,0
Hong Kong,HKG,1996,0
Greece,GRC,1996,9.85316
United Kingdom,GBR,1996,24.845833
France,FRA,1996,0.3813087
Finland,FIN,1996,6.347071
Estonia,EST,1996,0
Spain,ESP,1996,26.910975
Egypt,EGY,1996,0
Ecuador,ECU,1996,0
Algeria,DZA,1996,0
Denmark,DNK,1996,690.2452
Germany,DEU,1996,73.90576
Czechia,CZE,1996,0
Cyprus,CYP,1996,0
Colombia,COL,1996,0
China,CHN,1996,0.22614837
Chile,CHL,1996,0
Switzerland,CHE,1996,0.41648823
Canada,CAN,1996,6.1949797
Brazil,BRA,1996,0.035634603
Belarus,BLR,1996,0
Bulgaria,BGR,1996,0
Bangladesh,BGD,1996,0
Belgium,BEL,1996,2.3378572
Azerbaijan,AZE,1996,0
Austria,AUT,1996,1.8569613
Australia,AUS,1996,1.1363175
Argentina,ARG,1996,0.8036392
United Arab Emirates,ARE,1996,0
South Africa,ZAF,1995,0
Vietnam,VNM,1995,0
Venezuela,VEN,1995,0
Uzbekistan,UZB,1995,0
United States,USA,1995,35.576126
Ukraine,UKR,1995,0
Taiwan,TWN,1995,0
Turkey,TUR,1995,0
Trinidad and Tobago,TTO,1995,0
Turkmenistan,TKM,1995,0
Thailand,THA,1995,0
Sweden,SWE,1995,35.449455
Slovenia,SVN,1995,0
Slovakia,SVK,1995,0
Singapore,SGP,1995,0
Saudi Arabia,SAU,1995,0
Russia,RUS,1995,0
Romania,ROU,1995,0
Qatar,QAT,1995,0
Portugal,PRT,1995,4.7070704
Poland,POL,1995,0.07667428
Philippines,PHL,1995,0
Peru,PER,1995,0
Pakistan,PAK,1995,0
Oman,OMN,1995,0
New Zealand,NZL,1995,0.8165712
Norway,NOR,1995,0
Netherlands,NLD,1995,60.683987
Malaysia,MYS,1995,0
North Macedonia,MKD,1995,0
Mexico,MEX,1995,0.23001604
Morocco,MAR,1995,0
Latvia,LVA,1995,0
Luxembourg,LUX,1995,0
Lithuania,LTU,1995,0
Sri Lanka,LKA,1995,0
Kuwait,KWT,1995,0
South Korea,KOR,1995,0
Kazakhstan,KAZ,1995,0
Japan,JPN,1995,0.022588246
Italy,ITA,1995,0.44876015
Israel,ISR,1995,0
Iceland,ISL,1995,0
Iraq,IRQ,1995,0
Iran,IRN,1995,0
Ireland,IRL,1995,13.219852
India,IND,1995,1.5224394
Indonesia,IDN,1995,0
Hungary,HUN,1995,0
Croatia,HRV,1995,0
Hong Kong,HKG,1995,0
Greece,GRC,1995,9.371568
United Kingdom,GBR,1995,20.009192
France,FRA,1995,0.24284844
Finland,FIN,1995,6.252137
Estonia,EST,1995,0
Spain,ESP,1995,20.052639
Egypt,EGY,1995,0
Ecuador,ECU,1995,0
Algeria,DZA,1995,0
Denmark,DNK,1995,664.9717
Germany,DEU,1995,54.67585
Czechia,CZE,1995,0
Cyprus,CYP,1995,0
Colombia,COL,1995,0
China,CHN,1995,1.4957039
Chile,CHL,1995,0
Switzerland,CHE,1995,0
Canada,CAN,1995,5.9565
Brazil,BRA,1995,0
Belarus,BLR,1995,0
Bulgaria,BGR,1995,0
Bangladesh,BGD,1995,0
Belgium,BEL,1995,2.6360152
Azerbaijan,AZE,1995,0
Austria,AUT,1995,0.3704965
Australia,AUS,1995,1.1494997
Argentina,ARG,1995,0
United Arab Emirates,ARE,1995,0
South Africa,ZAF,1994,0
Vietnam,VNM,1994,0
Venezuela,VEN,1994,0
Uzbekistan,UZB,1994,0
United States,USA,1994,39.25681
Ukraine,UKR,1994,0
Taiwan,TWN,1994,0
Turkey,TUR,1994,0
Trinidad and Tobago,TTO,1994,0
Turkmenistan,TKM,1994,0
Thailand,THA,1994,0
Sweden,SWE,1994,25.422709
Slovenia,SVN,1994,0
Slovakia,SVK,1994,0
Singapore,SGP,1994,0
Saudi Arabia,SAU,1994,0
Russia,RUS,1994,0
Romania,ROU,1994,0
Qatar,QAT,1994,0
Portugal,PRT,1994,5.0178056
Poland,POL,1994,0
Philippines,PHL,1994,0
Peru,PER,1994,0
Pakistan,PAK,1994,0
Oman,OMN,1994,0
New Zealand,NZL,1994,0.8285249
Norway,NOR,1994,0
Netherlands,NLD,1994,45.849323
Malaysia,MYS,1994,0
North Macedonia,MKD,1994,0
Mexico,MEX,1994,0.16733143
Morocco,MAR,1994,0
Latvia,LVA,1994,0
Luxembourg,LUX,1994,0
Lithuania,LTU,1994,0
Sri Lanka,LKA,1994,0
Kuwait,KWT,1994,0
South Korea,KOR,1994,0.065191925
